name,codes,char,groupes,subgroupes
toilet,1F6BD,🚽,Objects,household
Tokyo tower,1F5FC,🗼,Travel & Places,place-building
tomato,1F345,🍅,Food & Drink,food-fruit
tongue,1F445,👅,People & Body,body-parts
toolbox,1F9F0,🧰,Objects,tool
tooth,1F9B7,🦷,People & Body,body-parts
TOP arrow,1F51D,🔝,Symbols,arrow
top hat,1F3A9,🎩,Objects,clothing
tornado,1F32A,🌪,Travel & Places,sky & weather
trackball,1F5B2,🖲,Objects,computer
tractor,1F69C,🚜,Travel & Places,transport-ground
horizontal traffic light,1F6A5,🚥,Travel & Places,transport-ground
tram car,1F68B,🚋,Travel & Places,transport-ground
train,1F686,🚆,Travel & Places,transport-ground
tram,1F68A,🚊,Travel & Places,transport-ground
triangular flag,1F6A9,🚩,Flags,flag
triangular ruler,1F4D0,📐,Objects,office
trident emblem,1F531,🔱,Symbols,other-symbol
face with steam from nose,1F624,😤,Smileys & Emotion,face-negative
trolleybus,1F68E,🚎,Travel & Places,transport-ground
trophy,1F3C6,🏆,Activities,award-medal
tropical drink,1F379,🍹,Food & Drink,drink
tropical fish,1F420,🐠,Animals & Nature,animal-marine
delivery truck,1F69A,🚚,Travel & Places,transport-ground
trumpet,1F3BA,🎺,Objects,musical-instrument
t-shirt,1F455,👕,Objects,clothing
tulip,1F337,🌷,Animals & Nature,plant-flower
tumbler glass,1F943,🥃,Food & Drink,drink
turkey,1F983,🦃,Animals & Nature,animal-bird
turtle,1F422,🐢,Animals & Nature,animal-reptile
television,1F4FA,📺,Objects,light & video
shuffle tracks button,1F500,🔀,Symbols,av-symbol
keycap: 2,0032 20E3,2⃣,Symbols,keycap
two hearts,1F495,💕,Smileys & Emotion,emotion
men holding hands,1F46C,👬,People & Body,family
women holding hands,1F46D,👭,People & Body,family
Japanese “discount” button,1F239,🈹,Symbols,alphanum
Japanese “passing grade” button,1F234,🈴,Symbols,alphanum
Japanese “open for business” button,1F23A,🈺,Symbols,alphanum
Japanese “reserved” button,1F22F,🈯,Symbols,alphanum
Japanese “monthly amount” button,1F237,🈷,Symbols,alphanum
Japanese “not free of charge” button,1F236,🈶,Symbols,alphanum
Japanese “no vacancy” button,1F235,🈵,Symbols,alphanum
Japanese “free of charge” button,1F21A,🈚,Symbols,alphanum
Japanese “application” button,1F238,🈸,Symbols,alphanum
Japanese “prohibited” button,1F232,🈲,Symbols,alphanum
Japanese “vacancy” button,1F233,🈳,Symbols,alphanum
umbrella with rain drops,2614,☔,Travel & Places,sky & weather
unamused face,1F612,😒,Smileys & Emotion,face-neutral-skeptical
no one under eighteen,1F51E,🔞,Symbols,warning
unicorn,1F984,🦄,Animals & Nature,animal-mammal
unlocked,1F513,🔓,Objects,lock
UP! button,1F199,🆙,Symbols,alphanum
upside-down face,1F643,🙃,Smileys & Emotion,face-smiling
victory hand,270C,✌,People & Body,hand-fingers-partial
vampire,1F9DB,🧛,People & Body,person-fantasy
vampire,1F9DB,🧛,People & Body,person-fantasy
vampire,1F9DB,🧛,People & Body,person-fantasy
vertical traffic light,1F6A6,🚦,Travel & Places,transport-ground
videocassette,1F4FC,📼,Objects,light & video
vibration mode,1F4F3,📳,Symbols,av-symbol
video camera,1F4F9,📹,Objects,light & video
video game,1F3AE,🎮,Activities,game
violin,1F3BB,🎻,Objects,musical-instrument
Virgo,264D,♍,Symbols,zodiac
volcano,1F30B,🌋,Travel & Places,place-geographic
volleyball,1F3D0,🏐,Activities,sport
face vomiting,1F92E,🤮,Smileys & Emotion,face-unwell
VS button,1F19A,🆚,Symbols,alphanum
vulcan salute,1F596,🖖,People & Body,hand-fingers-open
waffle,1F9C7,🧇,Food & Drink,food-prepared
black flag,1F3F4,🏴,Flags,flag
person walking,1F6B6,🚶,People & Body,person-activity
person walking,1F6B6,🚶,People & Body,person-activity
person walking,1F6B6,🚶,People & Body,person-activity
waning crescent moon,1F318,🌘,Travel & Places,sky & weather
waning gibbous moon,1F316,🌖,Travel & Places,sky & weather
warning,26A0,⚠,Symbols,warning
wastebasket,1F5D1,🗑,Objects,office
watch,231A,⌚,Travel & Places,time
water buffalo,1F403,🐃,Animals & Nature,animal-mammal
person playing water polo,1F93D,🤽,People & Body,person-sport
watermelon,1F349,🍉,Food & Drink,food-fruit
waving hand,1F44B,👋,People & Body,hand-fingers-open
wavy dash,3030,〰,Symbols,other-symbol
waxing crescent moon,1F312,🌒,Travel & Places,sky & weather
waxing gibbous moon,1F314,🌔,Travel & Places,sky & weather
water closet,1F6BE,🚾,Symbols,transport-sign
weary face,1F629,😩,Smileys & Emotion,face-concerned
wedding,1F492,💒,Travel & Places,place-building
person lifting weights,1F3CB,🏋,People & Body,person-sport
person lifting weights,1F3CB,🏋,People & Body,person-sport
person lifting weights,1F3CB,🏋,People & Body,person-sport
spouting whale,1F433,🐳,Animals & Nature,animal-marine
whale,1F40B,🐋,Animals & Nature,animal-marine
wheel of dharma,2638,☸,Symbols,religion
wheelchair symbol,267F,♿,Symbols,transport-sign
check mark button,2705,✅,Symbols,other-symbol
white circle,26AA,⚪,Symbols,geometric
white flag,1F3F3,🏳,Flags,flag
white flower,1F4AE,💮,Animals & Nature,plant-flower
man,1F468,👨,People & Body,person
woman,1F469,👩,People & Body,person
white heart,1F90D,🤍,Smileys & Emotion,emotion
white large square,2B1C,⬜,Symbols,geometric
white medium-small square,25FD,◽,Symbols,geometric
white medium square,25FB,◻,Symbols,geometric
white small square,25AB,▫,Symbols,geometric
white square button,1F533,🔳,Symbols,geometric
wilted flower,1F940,🥀,Animals & Nature,plant-flower
wind chime,1F390,🎐,Activities,event
wind face,1F32C,🌬,Travel & Places,sky & weather
wine glass,1F377,🍷,Food & Drink,drink
winking face,1F609,😉,Smileys & Emotion,face-smiling
wolf,1F43A,🐺,Animals & Nature,animal-mammal
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
person cartwheeling,1F938,🤸,People & Body,person-sport
woman,1F469,👩,People & Body,person
woman dancing,1F483,💃,People & Body,person-activity
person facepalming,1F926,🤦,People & Body,person-gesture
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
person juggling,1F939,🤹,People & Body,person-sport
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
person playing handball,1F93E,🤾,People & Body,person-sport
person playing water polo,1F93D,🤽,People & Body,person-sport
woman,1F469,👩,People & Body,person
person shrugging,1F937,🤷,People & Body,person-gesture
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
woman,1F469,👩,People & Body,person
woman with headscarf,1F9D5,🧕,People & Body,person-role
woman,1F469,👩,People & Body,person
person wearing turban,1F473,👳,People & Body,person-role
woman’s clothes,1F45A,👚,Objects,clothing
woman’s hat,1F452,👒,Objects,clothing
people wrestling,1F93C,🤼,People & Body,person-sport
women’s room,1F6BA,🚺,Symbols,transport-sign
woozy face,1F974,🥴,Smileys & Emotion,face-unwell
world map,1F5FA,🗺,Travel & Places,place-map
worried face,1F61F,😟,Smileys & Emotion,face-concerned
wrench,1F527,🔧,Objects,tool
people wrestling,1F93C,🤼,People & Body,person-sport
writing hand,270D,✍,People & Body,hand-prop
cross mark,274C,❌,Symbols,other-symbol
yarn,1F9F6,🧶,Activities,arts & crafts
yawning face,1F971,🥱,Smileys & Emotion,face-concerned
yellow circle,1F7E1,🟡,Symbols,geometric
yellow heart,1F49B,💛,Smileys & Emotion,emotion
yellow square,1F7E8,🟨,Symbols,geometric
yen banknote,1F4B4,💴,Objects,money
yin yang,262F,☯,Symbols,religion
yo-yo,1FA80,🪀,Activities,game
face savoring food,1F60B,😋,Smileys & Emotion,face-tongue
zany face,1F92A,🤪,Smileys & Emotion,face-tongue
high voltage,26A1,⚡,Travel & Places,sky & weather
zebra,1F993,🦓,Animals & Nature,animal-mammal
keycap: 0,0030 20E3,0⃣,Symbols,keycap
zipper-mouth face,1F910,🤐,Smileys & Emotion,face-neutral-skeptical
zombie,1F9DF,🧟,People & Body,person-fantasy
zombie,1F9DF,🧟,People & Body,person-fantasy
zombie,1F9DF,🧟,People & Body,person-fantasy
zzz,1F4A4,💤,Smileys & Emotion,emotion
